"","V1"
"n",7922
"meananx",14.28
"sdanx",8.82
"minanx",0
"maxanx",40.94
"skewanx",0.81
"highanx",1220
"lowanx",6702
"nfemales",3893
"nmales",4029
"meanmaternalage",28.88
"sdmaternalage",4.6
"minmaternalage",15
"maxmaternalage",45
"nsmokenever",6207
"nmsmoke_early",269
"nmsmoke_throughout",1446
"meanweight",3460.53
"sdweight",497.4
"minweight",1945.79
"maxweight",4972.45
"meangestationalage",39.61
"sdgestationalage",1.53
"mingestationalage",34.75
"maxgestationalage",44.44
"onpsych.meds",537
"lowSES",4703
