"","anx_general_contwins","freq"
"1",0,60
"2",1,112
"3",1.04347826086957,3
"4",1.33333333333333,2
"5",1.5,11
"6",2,154
"7",2.08695652173913,6
"8",2.82352941176471,1
"9",3,231
"10",3.1304347826087,5
"11",3.2,1
"12",3.78947368421053,1
"13",4,271
"14",4.17391304347826,9
"15",4.36363636363636,2
"16",4.5,18
"17",4.57142857142857,3
"18",5,295
"19",5.05263157894737,1
"20",5.21739130434783,12
"21",5.45454545454545,2
"22",6,371
"23",6.26086956521739,7
"24",6.31578947368421,1
"25",6.54545454545454,1
"26",7,351
"27",7.30434782608696,12
"28",7.5,29
"29",7.63636363636364,3
"30",8,360
"31",8.34782608695652,10
"32",8.72727272727273,2
"33",9,381
"34",9.14285714285714,2
"35",9.39130434782609,11
"36",9.81818181818182,1
"37",10,385
"38",10.1052631578947,1
"39",10.2857142857143,2
"40",10.4347826086957,10
"41",10.5,21
"42",11,338
"43",11.2,2
"44",11.2941176470588,1
"45",11.4285714285714,1
"46",11.4782608695652,15
"47",12,350
"48",12.5217391304348,13
"49",12.5714285714286,1
"50",12.6315789473684,1
"51",12.8,1
"52",13,312
"53",13.0909090909091,1
"54",13.5,25
"55",13.5652173913043,17
"56",13.7142857142857,1
"57",14,301
"58",14.4,1
"59",14.6086956521739,13
"60",15,356
"61",15.6521739130435,8
"62",16,274
"63",16.3636363636364,1
"64",16.5,26
"65",16.695652173913,8
"66",16.9411764705882,1
"67",17,256
"68",17.4545454545455,3
"69",17.6,1
"70",17.7391304347826,7
"71",18,240
"72",18.3529411764706,1
"73",18.5454545454545,1
"74",18.6666666666667,1
"75",18.7826086956522,14
"76",19,205
"77",19.2,1
"78",19.4285714285714,1
"79",19.5,26
"80",19.8260869565217,12
"81",20,198
"82",20.5714285714286,2
"83",20.8,1
"84",20.8695652173913,7
"85",21,196
"86",21.4736842105263,1
"87",21.7142857142857,1
"88",21.8181818181818,1
"89",21.9130434782609,8
"90",22,142
"91",22.4,3
"92",22.5,12
"93",22.9565217391304,5
"94",23,127
"95",24,141
"96",25,106
"97",25.0434782608696,4
"98",25.0909090909091,1
"99",25.2631578947368,2
"100",25.5,11
"101",26,103
"102",26.0869565217391,6
"103",26.2857142857143,1
"104",27,93
"105",27.1304347826087,7
"106",27.4285714285714,1
"107",28,82
"108",28.1739130434783,2
"109",28.3636363636364,1
"110",28.5,5
"111",28.5714285714286,2
"112",29,85
"113",29.2173913043478,5
"114",30,82
"115",30.2608695652174,3
"116",30.3157894736842,1
"117",30.8571428571429,1
"118",31,77
"119",31.304347826087,1
"120",31.5,5
"121",32,48
"122",32.3478260869565,1
"123",33,58
"124",33.8181818181818,1
"125",34,35
"126",34.4347826086956,4
"127",34.5,4
"128",34.8,1
"129",35,28
"130",35.4782608695652,2
"131",36,40
"132",36.5217391304348,1
"133",37,25
"134",37.5,3
"135",37.5652173913044,2
"136",38,26
"137",38.6086956521739,1
"138",39,21
"139",39.1578947368421,2
"140",39.2727272727273,1
"141",39.6521739130435,1
"142",40,18
"143",40.5,2
"144",40.9357964599028,67
