"","Lowanxietygroup","Highanxietygroup"
"nfemales",3306,587
"nmales",3396,633
"lowSES",3890,813
"highSES",2812,407
"meanmaternalage",29.02,28.13
"sdmaternalage",4.52,5
"minmaternalage",16,15
"maxmaternalage",44,45
"nmsmoke_no",0,0
"nmsmoke_early",201,68
"nmsmoke_throughout",1094,352
"meanweight",3464.29,3439.87
"sdweight",493.74,516.71
"minweight",1945.79,1945.79
"maxweight",4972.45,4972.45
"meangestationalage",39.63,39.51
"sdgestationalage",1.52,1.58
"mingestationalage",34.75,34.75
"maxgestationalage",44.44,44
"meanpsych.meds",0.05,0.18
"sdpsych.meds",0.21,0.39
"minpsych.meds",0,0
"maxpsych.meds",1,1
